resume_id,cluster_id,cluster_name,umap_x,umap_y
e280ee48,0,Problem Solving Specialists,-19.187658,-17.8833
e0fee96d,0,Problem Solving Specialists,-18.928492,-18.409397
52ed4b51,0,Problem Solving Specialists,-18.48912,-18.431248
391cacfb,0,Problem Solving Specialists,-19.362228,-18.193813
73ac7061,0,Problem Solving Specialists,-18.516048,-18.22448
63d84ec2,0,Problem Solving Specialists,-18.87369,-18.509243
26ca3df2,0,Problem Solving Specialists,-19.527023,-18.344639
e4fa2430,0,Problem Solving Specialists,-18.98059,-17.884783
0d3a3475,0,Problem Solving Specialists,-19.179035,-18.098223
2c2dc03b,0,Problem Solving Specialists,-19.309153,-17.911638
a14aa17e,0,Problem Solving Specialists,-19.195858,-17.97692
9b13f594,0,Problem Solving Specialists,-18.312416,-17.980824
97094582,0,Problem Solving Specialists,-18.917221,-18.46161
b87d4eeb,0,Problem Solving Specialists,-18.414053,-17.673967
40e019d0,3,Staad.Pro Specialists,13.878104,14.429763
4b4b36d5,0,Problem Solving Specialists,-18.539545,-18.082296
d886dc5f,0,Problem Solving Specialists,-19.222494,-17.18903
541d4295,5,Problem Solving Specialists,3.2732632,-10.052537
864f131d,5,Problem Solving Specialists,3.1080172,-9.997722
fdaca12e,3,Staad.Pro Specialists,13.810523,14.465181
a34d7caa,5,Problem Solving Specialists,3.4819326,-9.771618
406f050a,5,Problem Solving Specialists,3.5204394,-9.901137
9f223f1d,0,Problem Solving Specialists,-19.253618,-17.185118
0acf55e6,0,Problem Solving Specialists,-19.188831,-17.209057
82af1d7f,5,Problem Solving Specialists,3.4180079,-9.851404
800f80bb,3,Staad.Pro Specialists,13.936493,14.367315
ef7fa690,3,Staad.Pro Specialists,13.826882,14.439158
43c88866,3,Staad.Pro Specialists,13.907101,14.547155
1b44503d,5,Problem Solving Specialists,3.0975971,-9.820448
be1f606d,5,Problem Solving Specialists,3.3054512,-9.78712
97c41d8a,0,Problem Solving Specialists,-19.111277,-17.05709
d2bd6dc5,3,Staad.Pro Specialists,13.76877,14.460259
72f77e7b,5,Problem Solving Specialists,3.29963,-9.9787855
61be5a3c,0,Problem Solving Specialists,-19.21625,-18.352655
c3d35547,5,Problem Solving Specialists,3.4354546,-9.737549
7f7e9f2d,0,Problem Solving Specialists,-19.243643,-17.15916
6bf34b59,0,Problem Solving Specialists,-18.35437,-17.933681
1ef282f3,0,Problem Solving Specialists,-18.605919,-17.860712
a0f623a8,3,Staad.Pro Specialists,13.690433,14.339818
dedd9884,0,Problem Solving Specialists,-18.91143,-17.539986
6dc51c8f,0,Problem Solving Specialists,-18.472878,-18.21241
c688bab1,0,Problem Solving Specialists,-19.139849,-18.174957
385884d3,5,Problem Solving Specialists,3.1564467,-9.98037
1ddd0898,3,Staad.Pro Specialists,13.830513,14.551037
86ebbd70,0,Problem Solving Specialists,-19.434479,-18.140228
3c9f4ca2,0,Problem Solving Specialists,-18.785229,-17.89115
e93b31a8,0,Problem Solving Specialists,-18.733267,-17.425573
f4027fee,0,Problem Solving Specialists,-18.74361,-18.447376
af5545cf,0,Problem Solving Specialists,-18.59128,-17.708668
109257e4,5,Problem Solving Specialists,3.515269,-9.864848
e1ebddf1,0,Problem Solving Specialists,-19.286932,-17.275017
5e8b53ee,3,Staad.Pro Specialists,13.855419,14.401417
95d7c8f2,0,Problem Solving Specialists,-18.591982,-18.25452
f16b75b2,0,Problem Solving Specialists,-19.305326,-17.083172
